a 0,0,2,0,1,0,0,1,3,1
b 1,0,1,1,0,0,0,1,2,2
c 1,0,0,0,0,1,1,0,2,1
d 1,1,0,0,1,1,0,0,2,2
e 0,1,0,0,1,1,1,0,2,2
f 0,1,0,0,1,1,0,0,1,2
g 2,0,0,0,0,1,0,0,2,1
h 0,2,0,2,0,0,1,0,1,4
i 0,0,2,0,0,0,0,0,2,0
j 0,0,2,1,0,0,0,1,2,2
k 0,0,0,0,1,0,2,0,3,0
l 0,0,1,1,1,0,1,1,3,2
m 0,1,0,0,1,2,0,0,1,3
n 1,1,0,0,1,1,1,0,3,2
o 0,0,1,0,0,1,0,0,1,1
p 0,0,1,0,0,1,1,1,2,2
q 0,0,0,1,1,0,1,2,2,3
r 2,0,0,0,0,0,0,1,2,1
s 1,1,0,2,0,0,0,0,1,3
t 0,1,1,1,1,0,1,0,3,2
u 2,0,0,0,0,2,0,0,2,2
v 1,1,0,1,0,0,0,0,1,2
w 0,1,0,0,1,0,1,1,2,2
x 0,0,1,0,0,1,1,1,2,2
y 0,1,0,1,1,0,0,1,1,3
z 0,0,0,1,1,1,0,1,1,3
